Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,GEDI_metrics,Spatial_resolution_m,Resolution_class,Spatial_resol_ID,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Model_comparison,Best_model,Training_samples,Study_scale,R2,r,Fisher_Z,r_check,R2_check,vi
M506,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.04,0.2,0.202733,0.2,0.04,0.02381
M507,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.26,0.509902,0.562597,0.5099,0.26,0.02381
M508,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.42,0.648074,0.771971,0.6481,0.42,0.02381
M509,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.47,0.685565,0.839539,0.6856,0.47,0.02381
M510,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.12,0.34641,0.361358,0.3464,0.12,0.02381
M511,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.69,0.830662,1.190268,0.8307,0.69,0.02381
M512,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.84,0.916515,1.566798,0.9165,0.84,0.02381
M513,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.38,0.616441,0.719244,0.6164,0.38,0.02381
M514,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.44,0.663325,0.798728,0.6633,0.44,0.02381
M515,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.59,0.768115,1.015714,0.7681,0.59,0.02381
