Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,Spatial_resolution_m,Resolution_class,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Best_model,Training_samples,Study_scale,AGB_unit,RMSE
M210,S71,Cameroon-Sanaga,Sagang et al. 2020,2020,Remote Sensing,Cameroon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,Missing,40,Medium,Optical-only,No,Machine-learning,Random Forest,No,62,Regional,Mg/ha,65.0
M211,S71,Cameroon-Sanaga,Sagang et al. 2020,2020,Remote Sensing,Cameroon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,Missing,40,Medium,Optical-only,No,Machine-learning,Random Forest,No,62,Regional,Mg/ha,64.8
M212,S71,Cameroon-Sanaga,Sagang et al. 2020,2020,Remote Sensing,Cameroon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,Missing,40,Medium,Optical-only,No,Machine-learning,Random Forest,No,62,Regional,Mg/ha,63.2
M213,S71,Cameroon-Sanaga,Sagang et al. 2020,2020,Remote Sensing,Cameroon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,Missing,40,Medium,LiDAR+Optical,Yes,Machine-learning,Random Forest,No,117415,Regional,Mg/ha,48.3
M214,S71,Cameroon-Sanaga,Sagang et al. 2020,2020,Remote Sensing,Cameroon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,Missing,40,Medium,LiDAR+Optical,Yes,Machine-learning,Random Forest,No,117415,Regional,Mg/ha,43.1
M215,S71,Cameroon-Sanaga,Sagang et al. 2020,2020,Remote Sensing,Cameroon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,Missing,40,Medium,LiDAR+Optical,Yes,Machine-learning,Random Forest,Yes,117415,Regional,Mg/ha,42.8
M221,S74,Brazilian-Amazon,Ometto et al. 2023,2023,Scientific Data,Brazil,South-America,Tropical,Mixed forest,Complex terrain,No,Missing,250,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,141032,Regional,Mg/ha,27.0
M223,S76,Miombo-Tanzania,Egberth et al. 2017,2017,Carbon Balance and Management,Tanzania,East-Africa,Tropical,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,No,Statistical,Multiple Linear Regression,No,88,Local,Mg/ha,30.6
M224,S76,Miombo-Tanzania,Egberth et al. 2017,2017,Carbon Balance and Management,Tanzania,East-Africa,Tropical,Mixed forest,Complex terrain,No,Missing,30,Medium,LiDAR-only,No,Statistical,Multiple Linear Regression,No,88,Local,Mg/ha,23.3
M225,S76,Miombo-Tanzania,Egberth et al. 2017,2017,Carbon Balance and Management,Tanzania,East-Africa,Tropical,Mixed forest,Complex terrain,No,Missing,30,Medium,LiDAR+Optical,Yes,Statistical,Multiple Linear Regression,Yes,88,Local,Mg/ha,22.7
M226,S77,Maine-forest,Zhang et al. 2017,2017,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Hilly,No,Missing,50,Medium,SAR-only,No,Statistical,Multiple Linear Regression,No,,Local,Mg/ha,52.08
M227,S77,Maine-forest,Zhang et al. 2017,2017,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Hilly,No,Missing,50,Medium,Optical+SAR,Yes,Statistical,Multiple Linear Regression,Yes,,Local,Mg/ha,39.74
M228,S78,Cape-Verde-xerophytic,Bernasconi et al. 2017,2017,Remote Sensing,Cabo Verde,West-Africa,Subtropical,Shrubland,Hilly,No,Missing,22.4,Fine,Optical-only,No,Statistical,GWR,No,184,Local,Mg/ha,5.04
M229,S78,Cape-Verde-xerophytic,Bernasconi et al. 2017,2017,Remote Sensing,Cabo Verde,West-Africa,Subtropical,Shrubland,Hilly,No,Missing,22.4,Fine,Optical-only,No,Statistical,GWR,Yes,184,Local,Mg/ha,4.76
M230,S79,Finland-Evo,Yu et al. 2015,2015,Remote Sensing,Finland,Europe,Boreal,Coniferous forest,Flat / Lowland,No,Missing,4,Medium,SAR-only,No,Machine-learning,Random Forest,,91,Local,Mg/ha,37.0
M231,S80,Finland-Espoo,Vastaranta et al. 2014,2014,Remote Sensing,Finland,Europe,Boreal,Coniferous forest,Flat / Lowland,No,Missing,1/1/2035 0:00,High,SAR+LiDAR,Yes,Machine-learning,k MSN,Yes,207,Local,Mg/ha,15.6
M233,S82,Australia-continent,Liao et al. 2020,2020,Int J Appl Earth Obs Geoinformation,Australia,Oceania,Subtropical,Shrubland,Complex terrain,No,Missing,25,High-resolution,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,40585,Local,Mg/ha,80.0
M234,S83,Miombo-Tanzania,Melitha et al. 2025,2025,Earth Science Informatics,Tanzania,East-Africa,Tropical,Miombo woodland,Hilly,No,Missing,0.04,Ultra-high-resolution,Optical-only,No,Machine-learning,Random Forest,Yes,78,Local,Mg/ha,37.27
M235,S83,Miombo-Tanzania,Melitha et al. 2025,2025,Earth Science Informatics,Tanzania,East-Africa,Tropical,Miombo woodland,Hilly,No,Missing,0.04,Ultra-high-resolution,Optical-only,No,Machine-learning,XGBoost,No,78,Local,Mg/ha,42.19
