Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,Spatial_resolution_m,Resolution_class,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Best_model,Training_samples,Study_scale,AGB_unit,RMSE
M416,S106,Taiwan_kNN_SClus,Lin & Doyog 2025,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Taiwan,East-Asia,Subtropical,Mixed forest,Mountainous,Yes,Missing,10,HR,LiDAR+Optical,Yes,Machine-learning,kNN,No,8000,Local,Mg/ha,35.56
M417,S106,Taiwan_kNN_Worst,Lin & Doyog 2025,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Taiwan,East-Asia,Subtropical,Mixed forest,Mountainous,Yes,Missing,10,HR,LiDAR+Optical,Yes,Machine-learning,kNN,No,8000,Local,Mg/ha,481.49
M418,S107,Mexico_NFI,Urbazaev et al. 2018,2018,Carbon Balance and Management,Mexico,South_America,Tropical,Mixed forest,Complex terrain,Yes,Missing,100,LR,Optical+SAR,Yes,Machine-learning,Cubist,No,4794,National,Mg/ha,34.57
M419,S107,Mexico_LiDAR_All,Urbazaev et al. 2018,2018,Carbon Balance and Management,Mexico,South_America,Tropical,Mixed forest,Complex terrain,Yes,Missing,100,LR,Optical+SAR,Yes,Machine-learning,Cubist,No,271216,National,Mg/ha,36.94
M420,S107,Mexico_LiDAR_50pct,Urbazaev et al. 2018,2018,Carbon Balance and Management,Mexico,South_America,Tropical,Mixed forest,Complex terrain,Yes,Missing,100,LR,Optical+SAR,Yes,Machine-learning,Cubist,Yes,68395,National,Mg/ha,35.27
M421,S108,Chenzhou,Yingchang Li et al. 2020,2020,Scientific Reports,China,East-Asia,Subtropical,Evergreen_forest,Mountainous,No,Missing,25.82,Fine,Optical+SAR,Yes,Statistical,Linear Regression,No,367,Regional,Mg/ha,29.98
M422,S108,Chenzhou,Yingchang Li et al. 2020,2020,Scientific Reports,China,East-Asia,Subtropical,Evergreen_forest,Mountainous,No,Missing,25.82,Fine,Optical+SAR,Yes,Machine-learning,Random Forest,No,367,Regional,Mg/ha,20.92
M423,S108,Chenzhou,Yingchang Li et al. 2020,2020,Scientific Reports,China,East-Asia,Subtropical,Evergreen_forest,Mountainous,No,Missing,25.82,Fine,Optical+SAR,Yes,Machine-learning,XGBoost,Yes,367,Regional,Mg/ha,18.92
M427,S110,Conghua,Zhang et al. 2019,2019,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,kNN,No,177,Local,Mg/ha,19.965
M428,S110,Conghua,Zhang et al. 2019,2019,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,Random Forest,No,177,Local,Mg/ha,17.534
M429,S110,Conghua,Zhang et al. 2019,2019,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,SVR,No,177,Local,Mg/ha,18.751
M430,S110,Conghua,Zhang et al. 2019,2019,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Deep-learning,SSAE,Yes,177,Local,Mg/ha,15.67
M431,S110,Conghua,Zhang et al. 2019,2019,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Statistical,Linear Regression,No,177,Local,Mg/ha,21.062
M437,S112,Drew_County,Subedi & Zurqani 2026,2026,Advances in Space Research,USA,North-America,Subtropical,Mixed forest,Flat / Lowland,Yes,GEDI L4B,30,Medium,LiDAR+Optical,Yes,Machine-learning,Random Forest,Yes,5000,Regional,Mg/ha,34.85
M443,S113,Pantano_della_Zittola,Marino et al. 2024,2024,Ecological Informatics,Italy,Europe,Temperate,Shrubland,Plateau,No,Missing,10,Fine,Optical-only,No,Machine-learning,K means,No,28,Local,Mg/ha,1.01
M444,S113,Pantano_della_Zittola,Marino et al. 2024,2024,Ecological Informatics,Italy,Europe,Temperate,Shrubland,Plateau,No,Missing,10,Fine,Optical-only,No,Machine-learning,Random Forest,Yes,28,Local,Mg/ha,0.59
M445,S114,Lower_Brazos_River_Basin,Tikuye & Ray 2025,2025,Applied Computing and Geosciences,USA,North-America,Temperate,Mixed forest,Flat / Lowland,Yes,GEDI L4A,30,Medium,LiDAR+Optical,Yes,Statistical,MARS,No,,Watershed,Mg/ha,32.17
M446,S114,Lower_Brazos_River_Basin,Tikuye & Ray 2025,2025,Applied Computing and Geosciences,USA,North-America,Temperate,Mixed forest,Flat / Lowland,Yes,GEDI L4A,30,Medium,LiDAR+Optical,Yes,Machine-learning,Random Forest,No,,Watershed,Mg/ha,31.35
M447,S114,Lower_Brazos_River_Basin,Tikuye & Ray 2025,2025,Applied Computing and Geosciences,USA,North-America,Temperate,Mixed forest,Flat / Lowland,Yes,GEDI L4A,30,Medium,LiDAR+Optical,Yes,Machine-learning,XGBoost,Yes,,Watershed,Mg/ha,31.03
M448,S115,Zhejiang_Province,Li et al. 2024,2024,Environmental Modelling and Software,China,East-Asia,Subtropical,Mixed forest,Complex terrain,No,Missing,500,Medium,Optical-only,No,Machine-learning,XGBoost,No,254,Regional,Mg/ha,6.66
M449,S115,Zhejiang_Province,Li et al. 2024,2024,Environmental Modelling and Software,China,East-Asia,Subtropical,Mixed forest,Complex terrain,No,Missing,500,Medium,Optical-only,No,Machine-learning,XGBoost,No,254,Regional,Mg/ha,6.69
M450,S115,Zhejiang_Province,Li et al. 2024,2024,Environmental Modelling and Software,China,East-Asia,Subtropical,Mixed forest,Complex terrain,No,Missing,500,Medium,Optical-only,No,Machine-learning,XGBoost,No,254,Regional,Mg/ha,7.04
M451,S115,Zhejiang_Province,Li et al. 2024,2024,Environmental Modelling and Software,China,East-Asia,Subtropical,Mixed forest,Complex terrain,No,Missing,500,Medium,Optical-only,No,Machine-learning,XGBoost,Yes,254,Regional,Mg/ha,7.01
M452,S116,All_CMS_sites_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,No,Missing,1000,Coarse,Optical-only,No,Statistical,BRDF model inversion,No,,Regional,Mg/ha,57.0
M453,S116,All_CMS_sites_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Coarse,LiDAR-only,No,Statistical,GEDI L4B gridded,No,,Regional,Mg/ha,57.0
M454,S116,All_CMS_sites_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,No,Missing,1000,Coarse,Optical-only,No,Statistical,BRDF model inversion,No,,Regional,Mg/ha,58.0
M455,S116,All_CMS_sites_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Coarse,LiDAR-only,No,Statistical,GEDI L4B gridded,No,,Regional,Mg/ha,62.0
M456,S116,Sonoma_County_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,No,Missing,1000,Coarse,Optical-only,No,Statistical,BRDF model inversion,No,,Regional,Mg/ha,58.0
M457,S116,Sonoma_County_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Coarse,LiDAR-only,No,Statistical,GEDI L4B gridded,No,,Regional,Mg/ha,40.0
M458,S116,Sonoma_County_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,No,Missing,1000,Coarse,Optical-only,No,Statistical,BRDF model inversion,No,,Regional,Mg/ha,58.0
M459,S116,Sonoma_County_California,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Coarse,LiDAR-only,No,Statistical,GEDI L4B gridded,Yes,,Regional,Mg/ha,37.0
M460,S116,Sonoma_County_250m,Chopping et al. 2026,2026,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,No,Missing,250,Medium,Optical-only,No,Statistical,BRDF model inversion,No,,Regional,Mg/ha,68.0
M461,S117,Jinsha_River_Basin,Ma et al. 2025,2025,Ecological Informatics,China,East-Asia,Subtropical,Mixed forest,Mountainous,Yes,Missing,100,Medium,LiDAR-only,No,Statistical,Lasso Regression,Yes,2036,Regional,Mg/ha,23.6
M465,S118,Jilin_Province,Chen et al. 2025,2025,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Mixed forest,Complex terrain,Yes,GEDI L2A,10,High,Optical+SAR+LiDAR,Yes,Deep-learning,MARSNet,Yes,85150,Regional,,2.82
M466,S118,Jilin_Province,Chen et al. 2025,2025,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Mixed forest,Complex terrain,Yes,GEDI L2A,10,High,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,No,85150,Regional,,3.05
M467,S118,Jilin_Province,Chen et al. 2025,2025,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Mixed forest,Complex terrain,Yes,GEDI L2A,10,High,Optical+SAR+LiDAR,Yes,Deep-learning,ResNet101,No,85150,Regional,,3.21
M468,S118,Jilin_Province,Chen et al. 2025,2025,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Mixed forest,Complex terrain,Yes,GEDI L2A,10,High,Optical+SAR+LiDAR,Yes,Deep-learning,UNet,No,85150,Regional,,2.98
M469,S118,Jilin_Province,Chen et al. 2025,2025,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Mixed forest,Complex terrain,Yes,GEDI L2A,10,High,Optical+SAR+LiDAR,Yes,Deep-learning,CNN,No,85150,Regional,,3.32
M470,S118,Jilin_Province,Chen et al. 2025,2025,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Mixed forest,Complex terrain,Yes,GEDI L2A,10,High,Optical+SAR+LiDAR,Yes,Deep-learning,DeepLabv3,No,85150,Regional,,3.42
M482,S120,Tianzhu_County,Yang et al. 2026,2026,Ecological Informatics,China,East-Asia,Arid,Shrubland,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,XGBoost,Yes,,Regional,Mg/ha,15.01
M483,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,16.96
M484,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,15.74
M485,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,7.49
M486,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,13.24
M487,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,9.49
M488,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,12.98
M489,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,16.09
M490,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,No,,National,Mg/ha,13.24
M491,S121,China_national,Zhang et al. 2025,2025,Forest Ecosystems,China,East-Asia,Temperate,Mixed forest,Complex terrain,No,Missing,30,Medium,Optical-only,Yes,Statistical,Logistic regression,Yes,,National,Mg/ha,4.93
M492,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,15,High,Optical+SAR,Yes,Machine-learning,kNN,No,,Local,Mg/ha,44.393
M493,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,15,High,Optical+SAR,Yes,Machine-learning,Multilayer Perceptron,No,,Local,Mg/ha,35.078
M494,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,15,High,Optical+SAR,Yes,Statistical,Partial Least Squares,No,,Local,Mg/ha,28.714
M495,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,15,High,Optical+SAR,Yes,Machine-learning,Gradient Boosted Decision Tree,No,,Local,Mg/ha,27.944
M496,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,15,High,Optical+SAR,Yes,Machine-learning,Random Forest,No,,Local,Mg/ha,27.866
M497,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,15,High,Optical+SAR,Yes,Machine-learning,XGBoost,Yes,,Local,Mg/ha,27.093
M498,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,kNN,No,76953,Regional,Mg/ha,24.38
M499,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,Artificial Neural Network (ANN),No,76953,Regional,Mg/ha,21.43
M500,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,CatBoost,No,76953,Regional,Mg/ha,17.49
M501,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,Extremely Randomized Trees,No,76953,Regional,Mg/ha,15.19
M502,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,Random Forest,No,76953,Regional,Mg/ha,15.23
M503,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,LightGBM,No,76953,Regional,Mg/ha,14.65
M504,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,XGBoost,No,76953,Regional,Mg/ha,14.22
M505,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,1000,Low,LiDAR+Optical,Yes,Machine-learning,Stacking Ensemble,Yes,76953,Regional,Mg/ha,13.99
M506,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,134.95
M507,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,96.86
M508,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,86.7
M509,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,82.21
M510,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,120.42
M511,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,64.81
M512,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,45.23
M513,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,92.94
M514,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,88.89
M515,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,87.64
M516,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,52.61
M517,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,39.22
M518,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,No,45,Local,Mg/ha,39.39
M519,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,1.5,Very-high,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,45,Local,Mg/ha,38.62
M520,S305,Betul,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Deciduous forest,Hilly,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,34,Local,Mg/ha,12.85
M521,S305,Achanakmar,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Mixed forest,Hilly,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,16,Local,Mg/ha,27.05
M522,S305,Yellapur,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Mixed forest,Hilly,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,15,Local,Mg/ha,36.27
M523,S305,Uppangala,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Tropical moist forest,Hilly,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,23,Local,Mg/ha,100.44
M524,S305,Khaoyai,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Thailand,South-Asia,Tropical,Tropical moist forest,Hilly,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,31,Local,Mg/ha,37.4
M525,S305,Nachtigal,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Cameroon,Central-Africa,Tropical,Mixed forest,Hilly,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,11,Local,Mg/ha,60.49
M526,S305,Cameroon_regional,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Cameroon,Central-Africa,Tropical,Tropical moist forest,Hilly,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,27,Regional,Mg/ha,56.36
M527,S305,Mabouni̩,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,11,Local,Mg/ha,37.47
M528,S305,Rabi,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,No,,100,Medium,LiDAR-only,No,Statistical,Linear Regression,Yes,25,Local,Mg/ha,46.11
M529,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,30,Medium,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,,Multi-country,Mg/ha,100.91
M530,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,30,Medium,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,Yes,,Multi-country,Mg/ha,98.89
M531,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,30,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,XGBoost,No,,Multi-country,Mg/ha,71.59
M532,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,30,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,XGBoost,No,,Multi-country,Mg/ha,71.49
M534,S307,DRC_All_plots,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Mixed forest,Complex terrain,No,,100,Medium,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,Yes,92,National,Mg/ha,103.6
M535,S307,DRC_Humid_forests,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Tropical moist forest,Complex terrain,No,,100,Medium,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,92,National,Mg/ha,110.5
M536,S307,DRC_Swamp_forests,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Mixed forest,Complex terrain,No,,100,Medium,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,92,National,Mg/ha,113.3
